customer_message,amazon_reply,true_intent,should_escalate,notes
@115821 how is this 2 day shipping? I mean I'm not mad but what's the week hold for? https://t.co/vah272bq6W,"@673043 I'm sorry for any trouble or disappointment, Nelson! Two-day Shipping guarantees that once your order leaves our faclity, it'll only be in transit for two days, but it doesn't factor in processing time. We have more info here: https://t.co/p33U6uQKFP ^BL",Delivery Issue,False,
"@AmazonHelp Regarding order 408-6370867-6223568
Please check the mail i have sent to __email__ from __email__","@278532 Please don't provide your order details, we consider it to be personal information. Our page is visible to the public. ^SS",Order Status/Tracking Inquiry,False,
@AmazonHelp Money is mine agreed but with boundation of buying stuff from amazon. So.......,@694875 party websites that support amazon pay balance. You can check the 3rd party wesites here: https://t.co/QniX1wY4ev. (2/2)^GD,Billing/Charge Issue,True,
@AmazonHelp Tracking says pkg was delivered to mailroom. I don't have a mailroom nor my package. Orders page doesn't have a button for this,@703018 Oh no! Try some of these:https://t.co/aWaRcM30Zx helpful tips on locating a package that has been marked delivered.  ^SA,Delivery Issue,False,
"@AmazonHelp I got reply that contact srrvice center,  why shall i accept a product which will be opened for repair just within 10 days of delivery","@421911 Every product comes with a return window and it would differ with each category. As per our policy, mobiles have a 1/3 ^EM",Damaged/Defective Item,False,
@AmazonHelp Not yet but status say not deliverable .. Order id :402-8194592-8771514 .,@198968 Please wait once the product reaches our fulfillment center automated refund would be Initiated. 2/2 ^SB,Delivery Issue,False,
"@AmazonHelp solved, actually this is what I want from past 15days but you ppl  made it terrible anyway thank you ☺.",@134813 Sorry about the unpleasant experience. We'll make sure to work on your feedback. ^NR,Other/Unclear,True,
"@AmazonHelp NOPE! No email about any delay, I just happened to log into my account and see this on my order status.","@223987 I'm so sorry about that, Heather. I understand the inconvenience this situation can cause. If you haven't gotten your package by Sunday, please do let us know. ^BL",Delivery Issue,False,
@AmazonHelp Amazon marketplace. The seller said amazon was responsible. Meant to arrive yesterday at the latest. https://t.co/HOZmLgOlaK,@228928 I'm sorry you don't have your order yet! We aim to deliver by the date given in your order confirmation e-mail. Have we missed that date? ^TK,Delivery Issue,False,
@115830 i never purchased prime?? https://t.co/MlmuHAr4Yl,@422534 I'm sorry you were charged for a Prime membership you didn't want! You can always cancel here: https://t.co/KafpGTEgIx ^BN,Account/Security Issue,True,
"@AmazonHelp It's the Amazon carrier, not ups or usps",@467882 Thanks for letting us know. We'd like to look into this with you. Please contact us here: https://t.co/hApLpMlfHN ^KH,Other/Unclear,True,
